Departamento;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Calamuchita;24,2;20,9;21,1;22,7;22,7;23,4;21,6;25;16,4;20,5;20,3;23,5;20;23,6;21;17,9;12,8;10,5;8;5,9;4,5;4,2;3,6;1,9
Capital;17,1;17,7;17,8;19,8;18,2;18,4;16,9;15,6;13,7;14,7;15,8;16,6;15,4;15;13,2;11,2;9,1;7,3;6,4;5,1;3,9;2,9;2,9;2,5
Colon;25,7;22,6;23,8;22,8;23,6;23,6;22,9;19,2;17,5;18;19,3;18,9;18,2;19,5;15,6;14,4;11,8;9,6;7,7;6,4;6,3;4,8;4,7;3,8
Cruz del Eje;31,7;27,7;26,3;31,1;29,1;27,1;26,4;25,2;25,7;23,9;24,5;25,6;27,3;22;19;16,1;13,7;9,8;7,8;5,9;4,4;3,7;3;2,7
General Roca;21,7;22,5;22,4;25,8;22,3;24,1;21,2;19,7;16,9;19,1;19,2;19,5;17,7;15,3;15,2;13,1;9,6;6,4;3,7;2,5;1,1;0,3;0,2;0,2
General San Martin;15,4;14,2;13,6;14,6;14,2;17,4;13,4;13,9;13,4;11,4;13,3;10,9;12,9;13,6;13,1;10,7;8,4;6,2;4,6;2,9;2,1;1,7;1;1,8
Ischilin;22,3;29,3;25;25,3;24,2;26,4;24,5;24,3;20,9;23,9;25,9;23,7;24,5;22,6;19,9;16,6;11,1;9,7;7,1;4,5;6,3;2,9;2,4;1,4
Juarez Celman;16,1;14,6;14,1;15,8;16,2;17;17,9;13,1;11,9;12,3;13,4;12,8;12;12,7;11,2;9,2;7,9;6,7;5;3,6;2,3;1,5;1,1;1,1
Marcos Juarez;13,1;13,8;13,2;13,9;14,9;14,2;13,1;12,2;11,8;11,6;14,3;13,2;15,4;13,3;12,4;10;8,2;6,4;4,9;3,5;3,2;2;1,7;0,9
Minas;25,5;30,5;25,9;35,5;24,4;29,4;21,3;18;19,3;19,9;20,5;20,7;20,9;18;15,7;13,4;12;10;7,9;6;3,7;4,1;2,1;4,2
Pocho;20,5;19;20,6;21,1;20,9;23,4;26,2;18;15,7;18,2;16,6;17;18,3;16,4;14,4;8,2;4,6;7,6;2,6;2,3;2,3;4;3,6;4,8
Presidente Roque Saenz Pena;17,2;18,5;17,7;18,6;17,5;16,4;19,6;14,2;13,3;14,6;17,1;16;15,2;15,3;10,6;10,8;7,1;3,9;2,7;1,5;0,4;0,2;0,3;0,1
Punilla;18,5;18,4;22;21,9;21;19,2;20;18,9;15,6;15,5;17,4;15,7;14,9;16,3;13,2;10,9;9,4;7,2;5;3,5;2,8;2,2;1,8;1,3
Rio Cuarto;16,4;17,1;17,5;16,8;16,9;17;16,4;17,3;14,8;15,7;16,4;16,8;16,2;15,9;14,4;12,1;10,3;7,9;6;4,6;3,1;1,8;1,4;0,9
Rio Primero;21,1;22,9;22;22,1;25,8;20,2;20,9;18,6;17,2;15,7;16,4;15,9;15,4;15;14,4;10,7;9,5;7,1;5,3;4;2,5;1,7;0,7;0,8
Rio Seco;28,1;26,8;29,7;31,4;28,1;34,4;27,3;27,4;24,1;24,7;24,7;27,7;23,7;17,5;18,1;13,9;8,7;5,5;5,6;4,3;3;2;1,8;1,9
Rio Segundo;14,5;15,3;16;16,8;14,6;15;13,1;13,2;10,3;11,3;12,8;14,7;13,6;13;12,2;10,6;8,6;6,8;5,5;4,3;3,1;2,5;2,5;3,1
San Alberto;26;27,3;29,1;29,6;30,5;25,5;25,7;26,4;26,1;24,1;25,7;24,5;24,2;22,4;18,1;14,7;10,7;8,2;5,3;4;3,6;2,5;2,4;2,9
San Javier;22;21,8;23,3;24,5;25;22,8;24,4;24,7;19,6;20;26,6;22,5;23,6;27,7;20;20,1;16,2;11;8,5;7,4;5,2;4,9;3,9;3,6
San Justo;15,3;15,7;16,9;19,1;18,4;17,4;17,4;18,9;14,4;17,7;18,9;19,4;17,8;17,2;14,7;12,7;10,1;7,9;6,1;4,4;3,7;2,5;2,1;1,3
Santa Maria;22,2;23,3;23;21,9;21,7;25,4;31,3;19,2;18;20,7;19;18,8;18;16,8;14,5;12,6;10,3;8,5;6,6;5;3,6;2,7;2;1,7
Sobremonte;29,8;30,9;34,5;35,5;31,4;46,4;30;28,5;32,1;31,3;34,5;29,7;32,3;30;23;24,2;14,3;11,4;5,8;2,7;1,6;0,5;1,4;0,2
Tercero Arriba;16,3;15,8;15,4;15,6;16,4;14,4;13,6;13,1;11,4;12,3;13,9;14,7;15,2;14,1;13;10,9;8,2;6;4,2;3,9;3,4;2,7;1,8;2,4
Totoral;33,3;30,7;33,2;29,9;29,7;29,1;28,9;26,3;21,8;23,2;23,4;22,1;22,7;22,4;17,7;16;11,5;10,1;6,4;4,9;3,3;2,4;3,2;2,4
Tulumba;34,7;30,2;33,3;28,9;28,3;27,5;32,3;27,3;21,9;23,8;24,2;25,4;24,7;24,1;15,1;17,3;8,6;5,4;2,6;2;0,6;0,8;2;1,1
Union;15,2;15,4;16,7;17,2;16,6;17,5;16,3;17;14,6;15,1;17,4;20,7;19,3;19,9;14,8;15,1;12,4;8,6;7,5;6,2;5,7;4,8;3,9;4,2
Total Provincia;18,3;18,5;18,9;20;19,2;19,3;18,1;17,2;15;15,8;17,1;17,4;16;16,4;14,1;12,2;9,8;7,7;6,2;4,8;3,8;2,9;2,6;2,2
