Departamento ;Varones 1998;Mujeres 1998;Varones 1999;Mujeres 1999;Varones 2000;Mujeres 2000;Varones 2001;Mujeres 2001;Varones 2002;Mujeres 2002;Varones 2003;Mujeres 2003;Varones 2004;Mujeres 2004;Varones 2005;Mujeres 2005;Varones 2006;Mujeres 2006;Varones 2007;Mujeres 2007;Varones 2008;Mujeres 2008;Varones 2009;Mujeres 2009;Varones 2010;Mujeres 2010;Varones 2011;Mujeres 2011;Varones 2012;Mujeres 2012;Varones 2013;Mujeres 2013;Varones 2014;Mujeres 2014;Varones 2015;Mujeres 2015;Varones 2016;Mujeres 2016;Varones 2017;Mujeres 2017;Varones 2018;Mujeres 2018;Varones 2019;Mujeres 2019;Varones 2020;Mujeres 2020;Varones 2021;Mujeres 2021
Calamuchita;2714;2715;2803;2626;2791;2648;2696;2679;2813;2664;2852;2622;2797;2704;2823;2691;2888;2726;2918;2804;2999;2847;3146;2941;3203;2999;3249;3081;3296;3037;3359;3137;3427;3256;3418;3236;3443;3255;3524;3212;3464;3302;3465;3316;3483;3335;3600;3372
Capital;75438;73848;76251;74092;76438;74515;76472;74192;76230;73949;74794;72709;74303;71997;73971;71599;71485;68228;74380;71747;74080;71299;74283;71421;74168;71469;73816;71153;73268;70786;72919;70436;72864;70244;72454;70153;72386;70170;72214;69918;72034;69629;72313;69792;71920;69865;71270;69791
Colon;10951;10459;11383;10982;12124;11449;12152;11587;12443;11903;12452;11851;12715;12001;12787;12154;12369;11961;13017;12741;13187;12735;13349;12897;13557;13110;13713;13185;13852;13115;13847;13085;14038;13364;14209;13488;14214;13472;14246;13632;14476;13737;14471;13853;14580;13887;14743;13881
Cruz del Eje;3749;3612;3774;3674;3857;3689;3915;3741;4069;3760;4055;3782;4054;3717;4023;3697;3505;3227;3934;3682;3820;3636;3727;3614;3640;3568;3623;3534;3515;3467;3462;3432;3461;3329;3345;3251;3320;3144;3322;3148;3317;3103;3200;3183;3340;3143;3414;3270
General Roca;2304;2207;2285;2156;2200;2127;2177;2072;2128;2077;2067;2010;2073;1940;2091;1926;2086;1929;2073;1906;2061;1902;2065;1890;2007;1903;1957;1882;1924;1884;1890;1836;1845;1800;1759;1744;1704;1730;1651;1652;1664;1608;1612;1631;1656;1616;1625;1604
General San Martin;6921;6667;6939;6851;7010;6760;6902;6737;7001;6696;6826;6510;6446;6607;6663;6438;6423;6084;6819;6506;6766;6584;6827;6616;7064;6686;7137;6726;7237;6823;7304;6802;7370;6834;7302;6914;7457;6946;7356;6904;7323;7084;7322;7106;7388;7140;7561;7235
Ischilin;2125;1975;2146;2036;2165;2020;2181;2034;2140;2107;2158;2054;2147;2053;2082;2003;1964;1895;2106;2050;2174;2032;2177;2012;2152;1996;2121;2031;2131;2025;2096;1971;2060;1975;2047;1950;2027;1941;1991;1890;1943;1854;1896;1807;1914;1751;1932;1725
Juarez Celman;3369;3209;3454;3247;3461;3306;3405;3243;3398;3214;3296;3152;3339;3168;3327;3237;3344;3204;3371;3283;3414;3268;3465;3314;3494;3303;3440;3270;3410;3208;3305;3180;3317;3129;3269;3050;3194;3098;3286;3083;3248;3055;3328;3010;3286;3121;3275;3180
Marcos Juarez;5682;5432;5709;5428;5622;5447;5708;5340;5634;5431;5546;5157;5563;5167;5496;5262;5383;5056;5451;5183;5485;5062;5318;5007;5268;4939;5229;4740;5143;4730;5021;4666;4946;4611;4768;4550;4696;4512;4706;4469;4651;4420;4812;4512;4686;4474;4769;4413
Minas;346;312;336;320;341;322;356;337;382;330;355;343;352;338;349;311;332;299;341;283;309;297;297;288;279;280;278;277;278;256;264;243;252;230;262;208;255;187;241;189;229;181;235;175;237;183;222;187
Pocho;349;301;361;309;358;308;327;300;342;305;343;293;346;300;322;294;306;320;320;317;306;298;304;290;277;290;277;290;270;258;262;236;255;225;238;209;239;185;211;174;200;183;187;164;188;172;201;173
Presidente Roque Saenz Pena;2250;2140;2248;2084;2265;2077;2216;2043;2239;2014;2134;1956;2046;1880;2066;1920;2089;1947;2144;2008;2201;2015;2207;1941;2212;1979;2175;2032;2152;2078;2112;2006;2040;1983;1921;1844;1898;1869;1830;1777;1782;1724;1745;1729;1794;1713;1819;1704
Punilla;8822;8513;9070;8709;9134;8760;8965;8698;9058;8800;9031;8769;9077;8722;9136;8720;8533;8294;9325;9004;9439;9041;9556;8963;9690;9078;9760;9166;9728;9176;9782;9287;9812;9259;9863;9413;9926;9481;9999;9702;10003;9632;10128;9757;10243;9882;10428;9997
Rio Cuarto;13514;13103;13459;13067;13496;13012;13049;12568;13081;12749;13010;12209;12779;12112;12810;11965;12786;11873;13097;12277;12983;12241;12974;12353;12931;12402;12885;12437;12867;12511;12764;12438;12894;12440;13027;12469;13139;12476;13124;12444;13144;12469;13310;12679;13121;12673;13276;12934
Rio Primero;2855;2757;2978;2804;3021;2798;3038;2800;3073;2922;3076;2941;3051;2971;3048;3026;3056;3040;3034;3040;3038;2978;3082;2938;3035;2957;2996;2884;2993;2869;2994;2814;2927;2825;2814;2744;2837;2670;2803;2647;2755;2613;2778;2673;2754;2695;2775;2715
Rio Seco;929;912;976;915;1027;937;1046;954;1089;1008;1092;1024;1088;1033;1110;1027;1050;1019;1032;1022;977;950;1010;968;982;939;951;938;938;911;920;900;925;867;894;829;859;815;847;788;892;786;879;759;838;767;830;772
Rio Segundo;5799;5538;5864;5638;5919;5699;5834;5751;5948;5757;5840;5585;5800;5614;5809;5689;5596;5559;5886;5694;5822;5688;5764;5647;5702;5522;5748;5555;5702;5515;5659;5463;5702;5425;5485;5246;5433;5210;5415;5221;5442;5207;5409;5258;5398;5296;5436;5329
San Alberto;2258;2179;2250;2193;2318;2238;2353;2200;2401;2282;2445;2337;2477;2287;2424;2275;2462;2281;2447;2322;2389;2280;2432;2284;2395;2209;2381;2197;2306;2127;2198;2018;2125;1918;2068;1865;2050;1878;1961;1823;1991;1814;2042;1858;2039;1896;2082;1928
San Javier;3433;3363;3475;3399;3498;3375;3503;3384;3552;3454;3481;3436;3462;3420;3447;3467;3442;3525;3493;3547;3543;3552;3494;3490;3580;3514;3625;3387;3595;3365;3545;3288;3446;3261;3323;3253;3286;3195;3237;3197;3235;3206;3261;3300;3318;3334;3403;3341
San Justo;11175;10869;11136;10997;11213;11012;11226;10767;11131;10862;11015;10631;11120;10508;11000;10465;10774;10335;11233;10834;11249;10906;11285;11031;11459;11001;11498;11079;11543;11116;11527;11147;11548;11146;11404;10981;11266;10930;11088;10791;11043;10550;11079;10426;11012;10427;11043;10539
Santa Maria;5517;5165;5576;5317;5542;5305;5704;5298;5595;5288;5492;5217;5476;5187;5545;5279;5600;5342;5614;5542;5696;5600;5740;5637;5798;5617;5922;5620;5952;5594;6042;5679;5924;5715;6037;5636;6009;5652;6066;5702;6109;5837;6351;5971;6437;6103;6593;6178
Sobremonte;312;302;326;296;328;316;331;308;325;316;336;317;340;313;330;306;326;303;342;288;325;286;320;286;316;287;303;297;272;277;279;304;254;293;208;275;217;267;214;232;203;226;220;222;219;211;218;188
Tercero Arriba;6556;6258;6442;6244;6359;6195;6158;6019;6178;6007;5985;5757;5896;5779;5869;5599;5849;5733;6030;5818;5959;5792;6028;5790;5932;5705;6007;5661;5903;5626;5728;5455;5860;5450;5753;5342;5713;5241;5578;5249;5553;5230;5619;5331;5573;5422;5588;5421
Totoral;1104;1084;1118;1075;1099;1074;1104;1067;1136;1117;1137;1092;1128;1085;1121;1078;1142;1037;1129;1033;1095;1009;1086;1016;1132;1027;1122;1029;1087;1033;1058;1027;1046;1032;993;1016;991;1017;986;1001;1010;1025;998;1021;998;986;1013;999
Tulumba;836;831;888;860;888;876;860;847;874;824;884;799;889;804;886;755;875;744;823;734;824;744;794;758;776;745;759;704;725;660;700;649;704;634;684;620;692;592;677;600;666;592;644;598;626;604;628;595
Union;6385;5988;6500;5910;6420;5957;6385;5858;6454;5857;6233;5703;6213;5783;6126;5798;5962;5732;6034;5864;6066;5876;5967;5785;6007;5843;5948;5814;5936;5783;5840;5705;5782;5764;5582;5588;5502;5441;5369;5274;5339;5201;5296;5110;5315;4996;5285;5073
